id,name,azimuth,cone_angle,started_at,last_seen_at,is_wildfire,angle_of_view,lat,lon
5817,croix-augas-01,30.0,0.0,2025-05-10T14:42:20.278890,2025-05-10T14:50:22.301627,,54.2,48.4267461256,2.7108759097
5806,croix-augas-01,246.0,0.0,2025-05-10T11:32:26.121429,2025-05-10T14:55:51.393325,,54.2,48.4267461256,2.7108759097
5900,croix-augas-01,78.0,0.0,2025-05-11T19:24:44.034603,2025-05-11T19:46:15.172077,,54.2,48.4267461256,2.7108759097
5898,croix-augas-01,30.0,0.0,2025-05-11T19:09:13.577030,2025-05-11T19:43:44.898923,,54.2,48.4267461256,2.7108759097
5897,croix-augas-01,246.0,0.0,2025-05-11T19:02:13.397182,2025-05-11T19:38:49.525238,,54.2,48.4267461256,2.7108759097
5884,croix-augas-01,78.0,0.0,2025-05-11T16:30:09.405367,2025-05-11T16:36:39.154279,,54.2,48.4267461256,2.7108759097
5882,croix-augas-01,30.0,0.0,2025-05-11T15:33:07.562872,2025-05-11T15:42:07.689775,,54.2,48.4267461256,2.7108759097
5878,croix-augas-01,78.0,0.0,2025-05-11T14:39:36.128525,2025-05-11T14:40:35.799573,,54.2,48.4267461256,2.7108759097
5874,croix-augas-01,30.0,0.0,2025-05-11T13:23:33.649498,2025-05-11T13:24:33.604776,,54.2,48.4267461256,2.7108759097
5873,moret-sur-loing-01,270.0,0.0,2025-05-11T13:14:31.211259,2025-05-11T14:58:04.175395,,54.2,48.37916667,2.820833333
5869,croix-augas-01,246.0,0.0,2025-05-11T11:51:31.916489,2025-05-11T12:38:02.406672,,54.2,48.4267461256,2.7108759097
5867,moret-sur-loing-02,180.0,0.0,2025-05-11T11:33:58.487965,2025-05-11T11:35:28.336808,,54.2,48.37916667,2.820833333
5866,croix-augas-01,30.0,0.0,2025-05-11T11:27:31.623225,2025-05-11T12:39:37.196458,,54.2,48.4267461256,2.7108759097
5861,moret-sur-loing-01,270.0,0.0,2025-05-11T10:02:17.173015,2025-05-11T11:44:28.433025,,54.2,48.37916667,2.820833333
5857,croix-augas-01,30.0,0.0,2025-05-11T09:20:57.673665,2025-05-11T09:21:02.239042,,54.2,48.4267461256,2.7108759097
5853,croix-augas-01,30.0,0.0,2025-05-11T08:43:28.013552,2025-05-11T08:50:26.783378,,54.2,48.4267461256,2.7108759097
5842,moret-sur-loing-01,270.0,0.0,2025-05-11T06:58:39.034742,2025-05-11T09:08:46.559462,,54.2,48.37916667,2.820833333
5974,croix-augas-01,150.0,0.0,2025-05-12T19:43:17.628013,2025-05-12T19:53:48.075486,,54.2,48.4267461256,2.7108759097
5973,croix-augas-02,300.0,0.0,2025-05-12T19:26:47.088349,2025-05-12T19:54:17.272359,,54.2,48.4267461256,2.7108759097
5969,croix-augas-01,50.0,0.0,2025-05-12T17:47:14.266547,2025-05-12T17:49:44.486459,,54.2,48.4267461256,2.7108759097
5962,croix-augas-01,0.0,0.0,2025-05-12T16:14:42.031215,2025-05-12T16:30:42.448894,,54.2,48.4267461256,2.7108759097
5958,croix-augas-01,150.0,0.0,2025-05-12T15:17:10.818736,2025-05-12T15:18:41.027258,,54.2,48.4267461256,2.7108759097
5957,croix-augas-02,300.0,0.0,2025-05-12T15:12:40.704548,2025-05-12T15:58:11.590045,,54.2,48.4267461256,2.7108759097
5950,croix-augas-02,300.0,0.0,2025-05-12T14:00:47.616546,2025-05-12T14:39:09.618973,,54.2,48.4267461256,2.7108759097
5944,croix-augas-02,300.0,0.0,2025-05-12T13:10:07.837540,2025-05-12T13:30:00.326497,,54.2,48.4267461256,2.7108759097
5943,nemours-02,300.0,0.0,2025-05-12T12:33:19.615702,2025-05-12T12:56:25.996616,,54.2,48.2604833333,2.7063833333
6047,moret-sur-loing-01,150.0,0.0,2025-05-13T19:39:18.161470,2025-05-13T19:39:21.271437,,54.2,48.37916667,2.820833333
6046,moret-sur-loing-01,50.0,0.0,2025-05-13T19:33:48.656453,2025-05-13T19:54:46.901680,,54.2,48.37916667,2.820833333
6040,moret-sur-loing-01,100.0,0.0,2025-05-13T18:47:16.335005,2025-05-13T19:13:17.759061,,54.2,48.37916667,2.820833333
6034,moret-sur-loing-01,0.0,0.5962000000000005,2025-05-13T17:14:14.419794,2025-05-13T17:47:15.119312,,54.2,48.37916667,2.820833333
6033,moret-sur-loing-02,200.0,0.0,2025-05-13T17:09:14.389888,2025-05-13T17:27:15.616431,,54.2,48.37916667,2.820833333
6026,croix-augas-02,300.0,0.0,2025-05-13T15:34:35.050497,2025-05-13T15:37:05.815179,,54.2,48.4267461256,2.7108759097
6022,moret-sur-loing-01,100.0,0.0,2025-05-13T13:46:13.604186,2025-05-13T13:47:39.130071,,54.2,48.37916667,2.820833333
6021,moret-sur-loing-02,250.0,0.43360000000000043,2025-05-13T13:46:07.371867,2025-05-13T13:46:13.096800,,54.2,48.37916667,2.820833333
6019,croix-augas-02,300.0,0.0,2025-05-13T13:36:32.431989,2025-05-13T14:59:04.285815,,54.2,48.4267461256,2.7108759097
6012,croix-augas-01,100.0,0.0,2025-05-13T12:14:30.219566,2025-05-13T12:56:30.806801,,54.2,48.4267461256,2.7108759097
6011,moret-sur-loing-01,100.0,0.0,2025-05-13T12:06:33.341245,2025-05-13T12:07:34.466030,,54.2,48.37916667,2.820833333
6007,moret-sur-loing-01,100.0,0.0,2025-05-13T11:18:01.144319,2025-05-13T11:21:03.935384,,54.2,48.37916667,2.820833333
6006,moret-sur-loing-02,250.0,0.0,2025-05-13T11:13:51.412088,2025-05-13T12:13:03.871790,,54.2,48.37916667,2.820833333
5999,croix-augas-01,100.0,0.0,2025-05-13T09:45:26.658035,2025-05-13T09:47:26.811569,,54.2,48.4267461256,2.7108759097
5994,croix-augas-02,250.0,0.0,2025-05-13T08:37:24.483522,2025-05-13T08:38:24.961578,,54.2,48.4267461256,2.7108759097
5990,croix-augas-01,150.0,0.0,2025-05-13T07:23:53.963494,2025-05-13T07:56:56.693779,,54.2,48.4267461256,2.7108759097
5986,croix-augas-01,100.0,0.0,2025-05-13T06:41:21.762888,2025-05-13T08:28:54.731528,,54.2,48.4267461256,2.7108759097
5985,croix-augas-01,150.0,0.0,2025-05-13T06:35:20.675250,2025-05-13T06:37:21.759607,,54.2,48.4267461256,2.7108759097
5982,croix-augas-01,100.0,0.0,2025-05-13T05:30:19.740852,2025-05-13T05:59:49.935353,,54.2,48.4267461256,2.7108759097
5979,croix-augas-02,300.0,0.0,2025-05-13T04:58:18.951522,2025-05-13T05:00:18.876073,,54.2,48.4267461256,2.7108759097
6104,croix-augas-01,150.0,0.0,2025-05-14T19:55:17.244282,2025-05-14T19:58:16.455901,,54.2,48.4267461256,2.7108759097
6099,moret-sur-loing-01,150.0,0.0,2025-05-14T17:51:42.328025,2025-05-14T18:32:44.567522,,54.2,48.37916667,2.820833333
6083,moret-sur-loing-01,100.0,0.0,2025-05-14T13:07:34.923216,2025-05-14T13:34:35.002464,,54.2,48.37916667,2.820833333
6080,nemours-01,150.0,0.0,2025-05-14T12:53:17.503295,2025-05-14T13:14:49.512311,,54.2,48.2604833333,2.7063833333
6070,moret-sur-loing-01,100.0,0.0,2025-05-14T09:40:20.698364,2025-05-14T09:41:20.359026,,54.2,48.37916667,2.820833333
6048,moret-sur-loing-02,300.0,0.0,2025-05-14T04:02:50.037041,2025-05-14T04:37:20.175985,False,54.2,48.37916667,2.820833333
6165,nemours-02,200.0,0.0,2025-05-15T19:56:03.196961,2025-05-15T19:59:30.258941,,54.2,48.2604833333,2.7063833333
6159,moret-sur-loing-02,250.0,0.0,2025-05-15T18:36:30.278963,2025-05-15T18:50:00.896716,,54.2,48.37916667,2.820833333
6157,croix-augas-02,300.0,0.0,2025-05-15T18:06:14.109339,2025-05-15T18:06:16.563066,,54.2,48.4267461256,2.7108759097
6155,videlles-02,300.0,0.0,2025-05-15T17:51:34.650121,2025-05-15T17:53:09.419389,,54.2,48.478333333,2.42416667
6153,croix-augas-02,300.0,0.0,2025-05-15T17:25:43.027690,2025-05-15T17:31:44.020285,,54.2,48.4267461256,2.7108759097
6151,nemours-01,150.0,0.0,2025-05-15T17:04:44.314884,2025-05-15T17:18:22.981766,,54.2,48.2604833333,2.7063833333
6148,videlles-02,250.0,0.0,2025-05-15T16:44:07.278407,2025-05-15T16:44:29.424704,,54.2,48.478333333,2.42416667
6147,videlles-01,150.0,0.0,2025-05-15T15:32:35.247108,2025-05-15T15:44:51.887984,,54.2,48.478333333,2.42416667
6146,nemours-01,150.0,0.0,2025-05-15T15:32:19.527860,2025-05-15T16:01:07.247886,,54.2,48.2604833333,2.7063833333
6145,croix-augas-01,50.0,0.0,2025-05-15T15:31:40.127824,2025-05-15T15:31:41.981348,,54.2,48.4267461256,2.7108759097
6144,croix-augas-01,150.0,0.0,2025-05-15T14:40:39.781737,2025-05-15T14:41:09.871836,,54.2,48.4267461256,2.7108759097
6138,nemours-01,150.0,0.0,2025-05-15T12:27:30.011044,2025-05-15T13:09:14.642431,,54.2,48.2604833333,2.7063833333
6135,croix-augas-01,100.0,0.0,2025-05-15T11:46:34.297615,2025-05-15T12:05:04.540489,,54.2,48.4267461256,2.7108759097
6134,croix-augas-01,150.0,0.0,2025-05-15T11:46:05.333855,2025-05-15T11:48:34.871533,,54.2,48.4267461256,2.7108759097
6133,croix-augas-02,300.0,0.0,2025-05-15T11:45:34.085920,2025-05-15T16:48:12.652603,,54.2,48.4267461256,2.7108759097
6132,videlles-02,250.0,0.0,2025-05-15T11:30:28.763761,2025-05-15T11:36:58.933906,,54.2,48.478333333,2.42416667
6130,moret-sur-loing-02,250.0,0.0,2025-05-15T11:00:27.455707,2025-05-15T11:16:00.372554,,54.2,48.37916667,2.820833333
6124,nemours-02,300.0,0.0,2025-05-15T09:23:13.501134,2025-05-15T09:24:02.793703,,54.2,48.2604833333,2.7063833333
6122,moret-sur-loing-01,100.0,0.0,2025-05-15T09:14:54.488096,2025-05-15T13:17:30.514602,,54.2,48.37916667,2.820833333
6120,moret-sur-loing-02,300.0,0.0,2025-05-15T08:13:53.702613,2025-05-15T08:25:23.892101,,54.2,48.37916667,2.820833333
6119,nemours-02,200.0,1.5718000000000014,2025-05-15T07:52:23.855327,2025-05-15T08:18:59.565068,,54.2,48.2604833333,2.7063833333
6116,nemours-01,50.0,0.0,2025-05-15T07:50:35.378985,2025-05-15T10:54:02.850915,,54.2,48.2604833333,2.7063833333
